protein	n
Q0WWQ1	3
Q0WWT7	2
Q1EBV4	4
Q1ECE0	1
Q1G3G5	3
Q1G3K2	4
Q1H537	2
Q1H595	3
Q1JPL7	1
Q1JPN7	2
Q1JPP0	2
Q1PDF5	3
Q1PEI1	1
Q1WIQ6	7
Q208N7	3
Q24JL3	3
Q24JN5	3
Q29Q26	2
Q29Q34	4
Q2HIK4	4
Q2HIW6	3
Q304B9	3
Q31708	3
Q38799	8
Q38814	2
Q38820	1
Q38821	2
Q38842	3
Q38845	5
Q38853	1
Q38854	2
Q38858	4
Q38859	5
Q38868	5
Q38871	9
Q38872	3
Q38873	4
Q38884	3
Q38890	1
Q38893	2
Q38900	1
Q38911	3
Q38919	1
Q38921	2
Q38922	1
Q38929	8
Q38932	3
Q38935	8
Q38936	7
Q38946	4
Q38950	3
Q38951	3
Q38953	4
Q38997	5
Q38998	1
Q39002	1
Q39010	1
Q39016	4
Q39023	2
Q39024	4
Q39032	2
Q39033	6
Q39048	3
Q39054	5
Q39061	1
Q39079	1
Q39085	2
Q39097	2
Q39099	2
Q39101	3
Q39102	4
Q39117	1
Q39129	3
Q39131	1
Q39132	1
Q39133	2
Q39142	2
Q39160	3
Q39161	2
Q39165	2
Q39168	1
Q39172	8
Q39173	3
Q39189	3
Q39196	1
Q39199	3
Q39211	5
Q39221	3
Q39222	3
Q39227	2
Q39228	2
Q39230	7
Q39231	2
Q39232	1
Q39241	7
Q39242	7
Q39243	1
Q39247	2
Q39250	1
Q39251	3
Q39255	4
Q39256	1
Q39258	9
Q3E870	1
Q3E902	1
Q3E9C8	2
Q3EBL9	1
Q3ECS3	1
Q3ED65	3
Q41188	1
Q41931	5
Q41932	2
Q41969	2
Q42064	2
Q42093	2
Q42112	2
Q42134	1
Q42139	4
Q42262	1
Q42290	2
Q42338	4
Q42340	1
Q42344	2
Q42351	3
Q42384	5
Q42396	1
Q42403	7
Q42404	3
Q42418	1
Q42431	1
Q42438	3
Q42440	1
Q42449	1
Q42472	5
Q42479	6
Q42510	1
Q42521	3
Q42522	2
Q42523	4
Q42524	2
Q42525	4
Q42534	5
Q42538	4
Q42541	2
Q42546	3
Q42551	4
Q42553	2
Q42560	2
Q42564	4
Q42565	3
Q42566	3
Q42572	3
Q42581	1
Q42583	1
Q42586	3
Q42589	2
Q42592	1
Q42593	2
Q42599	1
Q42600	1
Q42601	1
Q42602	1
Q42605	8
Q43125	2
Q43127	1
Q43128	1
Q43292	2
Q43307	5
Q43315	5
Q43348	2
Q43727	2
Q43729	1
Q43735	2
Q43866	2
Q43870	4
Q43872	4
Q43873	1
Q494N5	3
Q494P4	1
Q4V399	4
Q4V3C8	2
Q4V3C9	2
Q4V3D1	3
Q4VCM1	1
Q501D2	2
Q501F7	3
Q52K82	4
Q52K85	2
Q52T38	3
Q56WK6	5
Q56WN1	3
Q56X76	2
Q56XB0	1
Q56XQ0	1
Q56XR7	2
Q56Y85	4
Q56YA5	1
Q56YN3	4
Q56YN8	2
Q56YU0	2
Q56YW9	4
Q56Z59	4
Q56ZI2	6
Q56ZN6	2
Q570B4	4
Q570C8	1
Q58FW3	1
Q5D869	3
Q5E911	2
Q5G5E0	3
Q5GM68	7
Q5HZ03	3
Q5M729	8
Q5MAU8	8
Q5QIT3	3
Q5RJC5	1
Q5S1W2	3
Q5S2C3	4
Q5S2C4	4
Q5W7F2	3
Q5XEN5	1
Q5XEP2	6
Q5XET7	1
Q5XEV6	1
Q5XEZ5	3
Q5XF03	1
Q5XF33	1
Q5XF81	6
Q5XF82	1
Q5XVC2	3
Q66GJ1	1
Q66GN3	2
Q66GP0	4
Q66GP9	4
Q66GR6	2
Q67Y93	1
Q67YA7	3
Q67YI9	2
Q67YR4	2
Q67Z52	4
Q67ZW2	7
Q680A5	4
Q680P8	1
Q681K2	1
Q681W7	3
Q682S0	2
Q682V0	2
Q683D4	3
Q6AWX1	2
Q6DBI9	3
Q6EVK6	3
Q6GKU7	1
Q6ICX4	1
Q6ICZ8	5
Q6IDA8	1
Q6IDB4	2
Q6IDB8	3
Q6IDC7	2
Q6NKN2	2
Q6NL08	3
Q6NL24	2
Q6NLH7	3
Q6NLQ6	3
Q6NM52	1
Q6NM71	2
Q6NMA9	1
Q6NMI3	2
Q6NMK2	4
Q6NMQ7	5
Q6NNP0	2
Q6NPL0	2
Q6NPM8	4
Q6NPP4	2
Q6NPR7	2
Q6NQ66	1
Q6NQ72	1
Q6NQC3	3
Q6NQH4	1
Q6NQL4	1
Q6NQM0	3
Q6NQN8	2
Q6Q151	4
Q6Q152	5
Q6R2J8	2
Q6S7B0	4
Q6STH5	2
Q6WWW4	1
Q6XJG8	2
Q6ZY51	4
Q70DU8	1
Q70E96	2
Q76E23	1
Q7DLR9	2
Q7DLS1	1
Q7DM58	1
Q7G191	2
Q7PC85	3
Q7PC86	2
Q7PC87	2
Q7X659	2
Q7XA68	2
Q7XJ53	5
Q7XJJ7	1
Q7XJN0	5
Q7XZU0	2
Q7XZU3	2
Q7Y0S0	1
Q7Y175	4
Q7Y1W1	4
Q7Y231	1
Q84J75	2
Q84JB7	7
Q84JE8	4
Q84JF2	3
Q84JF5	1
Q84JF8	1
Q84JK1	3
Q84JS5	2
Q84K25	4
Q84K41	4
Q84K47	3
Q84K50	1
Q84KJ5	4
Q84LM4	2
Q84M92	2
Q84M96	2
Q84M97	3
Q84MB6	3
Q84MD7	4
Q84MD8	5
Q84QC1	1
Q84R10	1
